114,0,22,1,1,34,7,82
115,4,18,2,1,0,3,72
116,3,19,2,1,66,7,90
117,1,4,0,1,49,9,22
118,1,24,0,1,19,5,40
119,1,0,1,1,58,9,91
120,4,3,1,1,81,3,51
121,2,14,0,1,41,5,61
122,2,0,4,1,84,2,94
123,4,9,0,1,55,4,62
124,4,25,4,1,33,7,89
125,0,26,0,1,99,5,90
126,4,4,1,1,43,0,6
127,0,8,0,1,74,3,66
128,1,28,0,1,75,4,88
129,0,29,2,1,45,8,99
130,2,25,0,1,18,4,90
131,0,13,0,1,50,9,42
132,1,16,1,1,86,4,46
133,0,28,2,1,9,6,12
134,3,17,0,1,0,5,80
135,2,9,2,1,92,8,68
136,4,19,4,1,97,9,74
137,5,9,4,1,20,5,18
138,1,21,4,1,3,6,16
139,5,21,0,1,38,5,71
140,5,2,4,1,91,1,79
141,3,23,0,1,85,1,19
142,3,29,1,1,85,1,37
143,1,13,1,1,46,2,62
144,3,21,0,1,90,5,86
145,4,9,1,1,17,2,57
146,1,8,4,1,41,5,26
147,4,8,0,1,29,3,84
148,1,12,2,1,7,0,86
149,1,24,1,1,57,2,71
150,4,11,3,1,74,3,74
151,3,13,2,1,62,3,89
152,2,12,4,1,78,5,25
153,4,22,2,1,70,7,74
154,2,24,4,1,83,5,49
155,4,27,2,1,95,1,84
156,4,13,4,1,99,3,85
157,0,5,2,1,12,9,57
158,5,22,0,1,29,1,75
159,2,20,0,1,92,0,59
160,4,1,4,1,60,1,5
161,4,15,2,1,66,9,75
162,5,10,4,1,65,4,42
163,4,7,0,1,86,9,23
164,1,22,3,1,79,5,53
165,5,1,2,1,95,5,85
166,3,18,0,1,94,2,46
167,3,11,1,1,10,7,61
168,4,22,2,1,74,9,29
169,4,29,2,1,89,7,13
170,2,18,4,1,40,4,9
171,0,3,1,1,50,3,47
172,1,13,3,1,12,5,45
173,3,12,1,1,74,5,53
174,5,10,3,1,67,1,70
175,0,10,2,1,10,2,85
176,3,9,4,1,46,6,83
177,1,22,0,1,83,1,1
178,4,24,3,1,37,5,77
179,0,10,2,1,93,4,52
180,1,14,3,1,32,3,90
181,2,8,0,1,99,4,45
182,4,19,4,1,58,1,9
183,5,17,4,1,92,8,46
184,4,12,4,1,0,4,29
185,0,17,3,1,40,1,44
186,4,22,1,1,26,4,24
187,0,9,2,1,1,2,30
188,4,19,0,1,48,1,40
189,3,10,1,1,11,8,0
190,2,3,1,1,86,6,44
191,2,22,2,1,12,2,75
192,0,3,2,1,68,1,87
193,4,12,3,1,2,1,66
194,5,11,1,1,43,2,81
195,2,14,1,1,64,5,95
196,0,9,2,1,71,9,69
197,3,21,4,1,26,6,58
198,5,21,4,1,54,8,81
199,2,17,3,1,54,7,20
200,4,26,1,1,28,2,31
201,5,10,1,1,94,1,80
202,3,23,4,1,64,2,18
203,1,20,3,1,54,5,16
204,0,7,3,1,94,5,89
205,5,14,4,1,12,8,2
206,2,10,1,2,69,3,88
207,1,19,2,1,27,0,41
208,5,14,2,1,41,3,51
209,3,29,2,1,18,6,61
210,1,1,3,1,36,7,48
211,1,27,3,1,15,4,74
212,2,18,0,1,23,1,81
213,4,11,2,1,70,8,0
214,3,25,2,1,90,0,70
215,1,8,2,2,93,0,31
216,2,14,4,1,42,1,67
217,4,0,3,1,18,9,32
218,4,15,2,1,19,3,95
219,5,13,3,1,10,4,85
220,5,9,2,1,2,3,73
221,3,25,1,1,19,9,14
222,5,0,2,1,23,8,28
223,0,8,1,1,77,9,24
224,2,20,4,1,80,1,17
225,3,1,3,1,18,9,16
226,5,11,4,1,71,6,17
227,5,27,4,1,98,0,37
228,4,10,2,1,96,0,25
229,1,6,2,1,3,5,67
230,4,16,2,1,4,6,96
231,5,26,2,1,20,3,89
232,3,2,3,1,58,6,36
233,5,17,0,1,97,4,28
235,0,19,4,1,46,7,18
236,4,11,2,1,34,2,14
237,0,23,3,1,30,3,92
238,3,25,3,1,69,5,64
239,3,29,0,1,99,3,97
240,4,15,2,1,91,1,81
241,4,10,1,1,97,6,56
242,4,27,1,1,23,9,24
243,1,15,4,1,86,6,62
244,1,0,3,1,99,1,64
245,4,6,2,1,12,9,46
246,2,23,3,1,73,8,93
247,1,1,4,1,84,7,46
