关键字	要干嘛
7号,地铁站,在哪	坐地铁
坐,7号线	坐地铁
坐,7号线	坐地铁
7号线,地铁,在哪	坐地铁
7号线,地铁,怎么走	坐地铁
7号线,从,哪儿,坐	坐地铁
ATM,机,有吗	取钱
这里,有,取款机	取钱
哪,充电	借充电宝
哪里,有,可以,充电,地方	借充电宝
有没,充电宝	借充电宝
哪,充电宝	借充电宝
哪,有,充电宝	借充电宝
有没,充电,地方	借充电宝
充电宝,哪里,借	借充电宝
南站南路,哪里,走	问路
南站南路,怎么走	问路
南站南路,哪边	问路
这,有,失物招领	找遗失物品
这,有,星巴克	等人/喝咖啡
坐,出租车,怎么走	坐出租车
坐,公交车,咋,走	坐公交
公交车,站,在,这边	坐公交
公交车,站,在,那边	坐公交
坐,公交,哪	坐公交
身份证,丢了,怎么,打,身份证明	办临时身份证
